#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
0	NM_207014	chr1	-	67075869	67163158	67075923	67163102	10	67075869,67078739,67085754,67100417,67109640,67113051,67129424,67131499,67143471,67162932,	67076067,67078942,67085949,67100573,67109780,67113208,67129537,67131684,67143646,67163158,	0	WDR78	cmpl	cmpl	0,1,1,1,2,1,2,0,2,0,
0	NM_024763	chr1	-	67051159	67163158	67052400	67163102	17	67051159,67060631,67065090,67066082,67071855,67072261,67073896,67075980,67078739,67085754,67100417,67109640,67113051,67129424,67131499,67143471,67162932,	67052451,67060788,67065317,67066181,67071977,67072419,67074048,67076067,67078942,67085949,67100573,67109780,67113208,67129537,67131684,67143646,67163158,	0	WDR78	cmpl	cmpl	0,2,0,0,1,2,0,0,1,1,1,2,1,2,0,2,0,
1	NM_001127714	chr1	-	41744622	42156965	41748708	41823055	8	41744622,41751073,41756659,41762992,41813801,41817994,41867006,42156670,	41749521,41752008,41756746,41763168,41813947,41823576,41867205,42156965,	0	HIVEP3	cmpl	cmpl	0,1,1,2,0,0,-1,-1,
1	NM_017940	chr1	-	16761508	16812687	16763024	16791103	29	16761508,16763888,16764714,16765488,16766260,16767060,16768154,16772223,16773568,16774238,16775348,16776398,16778274,16779826,16780501,16781625,16782675,16784570,16786131,16786806,16787930,16788980,16790928,16791240,16792522,16793673,16794012,16807589,16812419,	16763268,16764000,16764891,16765541,16766433,16767112,16768318,16772275,16773774,16774311,16775563,16776501,16778484,16780038,16780574,16781840,16782778,16784780,16786343,16786879,16788145,16789083,16791138,16791395,16792649,16793743,16794091,16807861,16812687,	0	NBPF1	cmpl	cmpl	2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,0,-1,-1,-1,-1,-1,-1,
1	NM_024503	chr1	-	41744622	42156965	41748708	41823055	9	41744622,41751073,41756659,41762992,41813801,41817994,41867006,41939173,42156670,	41749524,41752008,41756746,41763168,41813947,41823576,41867205,41939253,42156965,	0	HIVEP3	cmpl	cmpl	0,1,1,2,0,0,-1,-1,-1,
1	NM_001042681	chr1	-	8335050	8800286	8337733	8638943	23	8335050,8338065,8338746,8340842,8342410,8342758,8344409,8345329,8346702,8347392,8348458,8405373,8448571,8477709,8480051,8491272,8523859,8539120,8540063,8597206,8606955,8638618,8799805,	8337767,8338246,8338893,8341563,8342633,8344137,8344523,8345491,8346902,8347485,8348621,8405454,8448670,8477809,8480176,8491321,8523964,8539217,8540169,8597332,8607026,8639087,8800286,	0	RERE	cmpl	cmpl	2,1,1,0,2,0,0,0,1,1,0,0,0,2,0,2,2,1,0,0,1,0,-1,
1	NM_145243	chr1	-	58718978	58785059	58719224	58777554	9	58718978,58744319,58765520,58768860,58772212,58772417,58774772,58777054,58784962,	58719434,58744469,58765595,58768989,58772320,58772591,58775001,58777570,58785059,	0	OMA1	cmpl	cmpl	0,0,0,0,0,0,2,0,-1,
1	NM_001144777	chr1	+	50286272	50442044	50286423	50439437	7	50286272,50383215,50415347,50432023,50433819,50435687,50439109,	50286441,50383456,50415451,50432177,50434045,50435726,50442044,	0	ELAVL4	cmpl	cmpl	0,0,1,0,1,2,2,
1	NM_012102	chr1	-	8335050	8800286	8337733	8638943	24	8335050,8338065,8338746,8340842,8342410,8342758,8344409,8345329,8346702,8347392,8348458,8405373,8448571,8477709,8480051,8491272,8523859,8539120,8540063,8597206,8606955,8638618,8775049,8799805,	8337767,8338246,8338893,8341563,8342633,8344137,8344523,8345491,8346902,8347485,8348621,8405454,8448670,8477809,8480176,8491321,8523964,8539217,8540169,8597332,8607026,8639087,8775234,8800286,	0	RERE	cmpl	cmpl	2,1,1,0,2,0,0,0,1,1,0,0,0,2,0,2,2,1,0,0,1,0,-1,-1,
1	NM_001042682	chr1	-	8335050	8406334	8337733	8346780	13	8335050,8338065,8338746,8340842,8342410,8342758,8344409,8345329,8346702,8347392,8348458,8405373,8406207,	8337767,8338246,8338893,8341563,8342633,8344137,8344523,8345491,8346902,8347485,8348621,8405454,8406334,	0	RERE	cmpl	cmpl	2,1,1,0,2,0,0,0,0,-1,-1,-1,-1,
1	NM_001324208	chr1	+	50286272	50442044	50286423	50439437	7	50286272,50383215,50415347,50432023,50433819,50435687,50439067,	50286441,50383456,50415451,50432177,50434045,50435726,50442044,	0	ELAVL4	cmpl	cmpl	0,0,1,0,1,2,2,
1	NM_001080438	chr1	-	33544953	33559286	33544953	33559286	5	33544953,33550239,33550688,33550994,33559263,	33545641,33550377,33550778,33551078,33559286,	0	A3GALT2	cmpl	cmpl	2,2,2,2,0,
